month,skills,mentions,total_postings,share_pct
2023-07,jupyter,6,2560,0.234
2023-08,jupyter,16,3008,0.532
2023-09,jupyter,2,870,0.23
2022-11,keras,4,2159,0.185
2022-12,keras,11,3329,0.33
2023-01,keras,6,3682,0.163
2023-02,keras,2,2828,0.071
2023-03,keras,1,2727,0.037
2023-04,keras,2,2493,0.08
2023-05,keras,1,2357,0.042
2023-06,keras,1,2362,0.042
2023-07,keras,7,2560,0.273
2023-08,keras,7,3008,0.233
2023-09,keras,1,870,0.115
2023-07,kotlin,2,2560,0.078
2022-11,linux,28,2159,1.297
2022-12,linux,30,3329,0.901
2023-01,linux,23,3682,0.625
2023-02,linux,27,2828,0.955
2023-03,linux,20,2727,0.733
2023-04,linux,17,2493,0.682
2023-05,linux,11,2357,0.467
2023-06,linux,11,2362,0.466
2023-07,linux,29,2560,1.133
2023-08,linux,20,3008,0.665
2023-09,linux,7,870,0.805
2022-12,linux/unix,2,3329,0.06
2023-01,linux/unix,2,3682,0.054
2023-03,linux/unix,2,2727,0.073
2023-04,linux/unix,3,2493,0.12
2023-05,linux/unix,1,2357,0.042
2023-06,linux/unix,4,2362,0.169
2023-07,linux/unix,3,2560,0.117
2023-08,linux/unix,2,3008,0.066
2023-09,linux/unix,1,870,0.115
2022-11,looker,109,2159,5.049
2022-12,looker,131,3329,3.935
2023-01,looker,146,3682,3.965
2023-02,looker,103,2828,3.642
2023-03,looker,103,2727,3.777
2023-04,looker,91,2493,3.65
2023-05,looker,127,2357,5.388
2023-06,looker,133,2362,5.631
2023-07,looker,144,2560,5.625
2023-08,looker,146,3008,4.854
2023-09,looker,39,870,4.483
2022-11,matlab,10,2159,0.463
2022-12,matlab,41,3329,1.232
2023-01,matlab,36,3682,0.978
2023-02,matlab,42,2828,1.485
2023-03,matlab,39,2727,1.43
2023-04,matlab,39,2493,1.564
2023-05,matlab,30,2357,1.273
2023-06,matlab,23,2362,0.974
2023-07,matlab,19,2560,0.742
2023-08,matlab,21,3008,0.698
2023-09,matlab,8,870,0.92
2022-11,matplotlib,22,2159,1.019
2022-12,matplotlib,41,3329,1.232
2023-01,matplotlib,26,3682,0.706
2023-02,matplotlib,4,2828,0.141
2023-03,matplotlib,17,2727,0.623
2023-04,matplotlib,11,2493,0.441
2023-05,matplotlib,12,2357,0.509
2023-06,matplotlib,25,2362,1.058
2023-07,matplotlib,31,2560,1.211
2023-08,matplotlib,61,3008,2.028
2023-09,matplotlib,13,870,1.494
2022-11,microstrategy,86,2159,3.983
2022-12,microstrategy,25,3329,0.751
2023-01,microstrategy,294,3682,7.985
2023-02,microstrategy,52,2828,1.839
2023-03,microstrategy,23,2727,0.843
2023-04,microstrategy,83,2493,3.329
2023-05,microstrategy,44,2357,1.867
2023-06,microstrategy,52,2362,2.202
2023-07,microstrategy,30,2560,1.172
2023-08,microstrategy,19,3008,0.632
2023-09,microstrategy,16,870,1.839
2023-07,mlr,2,2560,0.078
2023-08,mlr,1,3008,0.033
2022-11,mongo,2,2159,0.093
2022-12,mongo,2,3329,0.06
2023-01,mongo,1,3682,0.027
2023-02,mongo,1,2828,0.035
2023-03,mongo,4,2727,0.147
2023-04,mongo,10,2493,0.401
2023-05,mongo,1,2357,0.042
2023-06,mongo,3,2362,0.127
2023-07,mongo,2,2560,0.078
2023-08,mongo,2,3008,0.066
2022-11,mongodb,5,2159,0.232
2022-12,mongodb,16,3329,0.481
2023-01,mongodb,8,3682,0.217
2023-02,mongodb,17,2828,0.601
2023-03,mongodb,16,2727,0.587
2023-04,mongodb,2,2493,0.08
2023-05,mongodb,5,2357,0.212
2023-06,mongodb,8,2362,0.339
2023-07,mongodb,11,2560,0.43
2023-08,mongodb,17,3008,0.565
2023-09,mongodb,4,870,0.46
2022-11,mssql,7,2159,0.324
2022-12,mssql,10,3329,0.3
2023-01,mssql,9,3682,0.244
2023-02,mssql,4,2828,0.141
2023-03,mssql,4,2727,0.147
2023-04,mssql,13,2493,0.521
2023-05,mssql,3,2357,0.127
2023-06,mssql,6,2362,0.254
2023-07,mssql,14,2560,0.547
2023-08,mssql,20,3008,0.665
2023-09,mssql,12,870,1.379
2023-02,mxnet,2,2828,0.071
2023-07,mxnet,2,2560,0.078
2022-11,mysql,36,2159,1.667
2022-12,mysql,59,3329,1.772
2023-01,mysql,59,3682,1.602
2023-02,mysql,45,2828,1.591
2023-03,mysql,41,2727,1.503
2023-04,mysql,28,2493,1.123
2023-05,mysql,47,2357,1.994
2023-06,mysql,31,2362,1.312
2023-07,mysql,48,2560,1.875
2023-08,mysql,39,3008,1.297
2023-09,mysql,11,870,1.264
2023-03,nltk,2,2727,0.073
2023-05,nltk,1,2357,0.042
2023-06,nltk,1,2362,0.042
2023-07,nltk,2,2560,0.078
2023-08,nltk,7,3008,0.233
2022-11,no-sql,2,2159,0.093
2022-12,no-sql,1,3329,0.03
2023-01,no-sql,2,3682,0.054
2023-02,no-sql,1,2828,0.035
2023-03,no-sql,4,2727,0.147
2023-06,no-sql,4,2362,0.169
2023-07,no-sql,2,2560,0.078
2023-08,no-sql,5,3008,0.166
2022-11,node,1,2159,0.046
2023-01,node,1,3682,0.027
2023-02,node,3,2828,0.106
2023-03,node,2,2727,0.073
2023-04,node,2,2493,0.08
2023-05,node,3,2357,0.127
2023-06,node,2,2362,0.085
2023-08,node,2,3008,0.066
2023-09,node,1,870,0.115
2022-12,node.js,2,3329,0.06
2023-01,node.js,3,3682,0.081
2023-02,node.js,3,2828,0.106
2023-05,node.js,2,2357,0.085
2023-06,node.js,1,2362,0.042
2023-07,node.js,3,2560,0.117
2023-08,node.js,2,3008,0.066
2022-11,nosql,98,2159,4.539
2022-12,nosql,73,3329,2.193
2023-01,nosql,56,3682,1.521
2023-02,nosql,59,2828,2.086
2023-03,nosql,72,2727,2.64
2023-04,nosql,52,2493,2.086
2023-05,nosql,35,2357,1.485
2023-06,nosql,38,2362,1.609
2023-07,nosql,51,2560,1.992
2023-08,nosql,127,3008,4.222
2023-09,nosql,16,870,1.839
2023-01,nuix,1,3682,0.027
2023-02,nuix,3,2828,0.106
2023-03,nuix,1,2727,0.037
2023-04,nuix,2,2493,0.08
2023-05,nuix,8,2357,0.339
2023-06,nuix,1,2362,0.042
2022-11,numpy,27,2159,1.251
2022-12,numpy,28,3329,0.841
2023-01,numpy,26,3682,0.706
2023-02,numpy,28,2828,0.99
2023-03,numpy,24,2727,0.88
2023-04,numpy,10,2493,0.401
2023-05,numpy,8,2357,0.339
2023-06,numpy,49,2362,2.075
2023-07,numpy,26,2560,1.016
2023-08,numpy,36,3008,1.197
2023-09,numpy,7,870,0.805
2022-11,outlook,41,2159,1.899
2022-12,outlook,85,3329,2.553
2023-01,outlook,106,3682,2.879
2023-02,outlook,52,2828,1.839
2023-03,outlook,68,2727,2.494
2023-04,outlook,70,2493,2.808
2023-05,outlook,59,2357,2.503
2023-06,outlook,44,2362,1.863
2023-07,outlook,74,2560,2.891
2023-08,outlook,77,3008,2.56
2023-09,outlook,27,870,3.103
2022-11,pandas,41,2159,1.899
2022-12,pandas,38,3329,1.141
2023-01,pandas,34,3682,0.923
2023-02,pandas,36,2828,1.273
2023-03,pandas,40,2727,1.467
2023-04,pandas,17,2493,0.682
2023-05,pandas,18,2357,0.764
2023-06,pandas,53,2362,2.244
2023-07,pandas,42,2560,1.641
2023-08,pandas,60,3008,1.995
2023-09,pandas,15,870,1.724
2022-11,perl,1,2159,0.046
2022-12,perl,11,3329,0.33
2023-01,perl,10,3682,0.272
2023-02,perl,4,2828,0.141
2023-03,perl,5,2727,0.183
2023-04,perl,5,2493,0.201
2023-05,perl,7,2357,0.297
2023-06,perl,9,2362,0.381
2023-07,perl,7,2560,0.273
2023-08,perl,10,3008,0.332
2023-09,perl,2,870,0.23
2022-11,php,4,2159,0.185
2022-12,php,9,3329,0.27
2023-01,php,4,3682,0.109
2023-02,php,2,2828,0.071
2023-03,php,5,2727,0.183
2023-04,php,2,2493,0.08
2023-05,php,6,2357,0.255
2023-06,php,7,2362,0.296
2023-07,php,6,2560,0.234
2023-08,php,13,3008,0.432
2023-09,php,5,870,0.575
2022-11,pl/sql,91,2159,4.215
2022-12,pl/sql,28,3329,0.841
2023-01,pl/sql,41,3682,1.114
2023-02,pl/sql,10,2828,0.354
2023-03,pl/sql,21,2727,0.77
2023-04,pl/sql,18,2493,0.722
2023-05,pl/sql,17,2357,0.721
2023-06,pl/sql,22,2362,0.931
2023-07,pl/sql,21,2560,0.82
2023-08,pl/sql,39,3008,1.297
2023-09,pl/sql,12,870,1.379
2022-11,plotly,9,2159,0.417
2022-12,plotly,3,3329,0.09
2023-01,plotly,8,3682,0.217
2023-02,plotly,3,2828,0.106
2023-03,plotly,6,2727,0.22
2023-04,plotly,9,2493,0.361
2023-05,plotly,3,2357,0.127
2023-06,plotly,6,2362,0.254
2023-07,plotly,2,2560,0.078
2023-08,plotly,10,3008,0.332
2022-11,postgres,20,2159,0.926
2022-12,postgres,38,3329,1.141
2023-01,postgres,23,3682,0.625
2023-02,postgres,7,2828,0.248
2023-03,postgres,17,2727,0.623
2023-04,postgres,7,2493,0.281
2023-05,postgres,7,2357,0.297
2023-06,postgres,13,2362,0.55
2023-07,postgres,21,2560,0.82
2023-08,postgres,39,3008,1.297
2023-09,postgres,3,870,0.345
2022-11,postgresql,19,2159,0.88
2022-12,postgresql,25,3329,0.751
2023-01,postgresql,31,3682,0.842
2023-02,postgresql,30,2828,1.061
2023-03,postgresql,25,2727,0.917
2023-04,postgresql,22,2493,0.882
2023-05,postgresql,27,2357,1.146
2023-06,postgresql,12,2362,0.508
2023-07,postgresql,24,2560,0.938
2023-08,postgresql,29,3008,0.964
2023-09,postgresql,6,870,0.69
2022-11,power_bi,642,2159,29.736
2022-12,power_bi,923,3329,27.726
2023-01,power_bi,922,3682,25.041
2023-02,power_bi,764,2828,27.016
2023-03,power_bi,785,2727,28.786
2023-04,power_bi,649,2493,26.033
2023-05,power_bi,686,2357,29.105
2023-06,power_bi,643,2362,27.223
2023-07,power_bi,719,2560,28.086
2023-08,power_bi,959,3008,31.882
2023-09,power_bi,279,870,32.069
2022-11,powerpoint,146,2159,6.762
2022-12,powerpoint,203,3329,6.098
2023-01,powerpoint,373,3682,10.13
2023-02,powerpoint,232,2828,8.204
2023-03,powerpoint,189,2727,6.931
2023-04,powerpoint,188,2493,7.541
2023-05,powerpoint,145,2357,6.152
2023-06,powerpoint,182,2362,7.705
2023-07,powerpoint,219,2560,8.555
2023-08,powerpoint,239,3008,7.945
2023-09,powerpoint,66,870,7.586
2022-12,powerpoints,3,3329,0.09
2023-01,powerpoints,1,3682,0.027
2023-02,powerpoints,2,2828,0.071
2023-08,powerpoints,1,3008,0.033
2022-11,powershell,10,2159,0.463
2022-12,powershell,21,3329,0.631
2023-01,powershell,9,3682,0.244
2023-02,powershell,8,2828,0.283
2023-03,powershell,11,2727,0.403
2023-04,powershell,8,2493,0.321
2023-05,powershell,13,2357,0.552
2023-06,powershell,10,2362,0.423
2023-07,powershell,14,2560,0.547
2023-08,powershell,28,3008,0.931
2023-09,powershell,9,870,1.034
2022-11,pyspark,19,2159,0.88
2022-12,pyspark,21,3329,0.631
2023-01,pyspark,17,3682,0.462
2023-02,pyspark,16,2828,0.566
2023-03,pyspark,13,2727,0.477
2023-04,pyspark,12,2493,0.481
2023-05,pyspark,9,2357,0.382
2023-06,pyspark,54,2362,2.286
2023-07,pyspark,36,2560,1.406
2023-08,pyspark,44,3008,1.463
2023-09,pyspark,6,870,0.69
2022-11,python,698,2159,32.33
2022-12,python,971,3329,29.168
2023-01,python,929,3682,25.231
2023-02,python,786,2828,27.793
2023-03,python,781,2727,28.64
2023-04,python,690,2493,27.677
2023-05,python,639,2357,27.111
2023-06,python,672,2362,28.45
2023-07,python,693,2560,27.07
2023-08,python,986,3008,32.779
2023-09,python,246,870,28.276
2022-11,pytorch,3,2159,0.139
2022-12,pytorch,9,3329,0.27
2023-01,pytorch,6,3682,0.163
2023-02,pytorch,13,2828,0.46
2023-03,pytorch,11,2727,0.403
2023-04,pytorch,10,2493,0.401
2023-05,pytorch,5,2357,0.212
2023-06,pytorch,7,2362,0.296
2023-07,pytorch,11,2560,0.43
2023-08,pytorch,17,3008,0.565
2023-09,pytorch,1,870,0.115
2022-11,qlik,21,2159,0.973
2022-12,qlik,68,3329,2.043
